組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
015000000	イノチオ・スズキヤングプランツ㈱	当月時間当り	1583.0	1625.1	97.4	61.3
015000000	イノチオ・スズキヤングプランツ㈱	人員	18.0	18.0	100.0	105.8
015090200	本社収支	総受注高	0.0	0.0		
015090200	本社収支	総売上高	0.0	0.0		
015090200	本社収支	苗売上	0.0	0.0		
015090200	本社収支	その他の売上	0.0	0.0		
015090200	本社収支	経費合計	0.0	0.0		
015090200	本社収支	種苗費	0.0	0.0		
015090200	本社収支	肥料費	0.0	0.0		
015090200	本社収支	培土費用	0.0	0.0		
015090200	本社収支	農薬衛生費	0.0	0.0		
015090200	本社収支	農具費	0.0	0.0		
015090200	本社収支	諸材料費	0.0	0.0		
015090200	本社収支	その他仕入高	0.0	0.0		
015090200	本社収支	減価償却費	0.0	0.0		
015090200	本社収支	車両費	0.0	0.0		
015090200	本社収支	旅費交通費	0.0	0.0		
015090200	本社収支	荷造運搬費	0.0	0.0		
015090200	本社収支	通信費	0.0	0.0		
015090200	本社収支	水道光熱費	0.0	0.0		
015090200	本社収支	動力費	0.0	0.0		
015090200	本社収支	燃料費	0.0	0.0		
015090200	本社収支	事務用品費	0.0	0.0		
015090200	本社収支	消耗品費	0.0	0.0		
015090200	本社収支	廃棄物処理料	0.0	0.0		
015090200	本社収支	広告宣伝費	0.0	0.0		
015090200	本社収支	接待交際費	0.0	0.0		
015090200	本社収支	研究開発費	0.0	0.0		
015090200	本社収支	クレーム費	0.0	0.0		
015090200	本社収支	賃借料	0.0	0.0		
015090200	本社収支	賃貸料収入	0.0	0.0		
015090200	本社収支	修繕費	0.0	0.0		
015090200	本社収支	支払リース料	0.0	0.0		
015090200	本社収支	保険料	0.0	0.0		
015090200	本社収支	支払報酬	0.0	0.0		
015090200	本社収支	販売手数料	0.0	0.0		
015090200	本社収支	支払手数料	0.0	0.0		
015090200	本社収支	診断料	0.0	0.0		
015090200	本社収支	諸会費	0.0	0.0		
015090200	本社収支	会議費	0.0	0.0		
015090200	本社収支	寄付金	0.0	0.0		
015090200	本社収支	租税公課	0.0	0.0		
015090200	本社収支	業務委託費	0.0	0.0		
015090200	本社収支	業務受託収入	0.0	0.0		
015090200	本社収支	システム管理料	0.0	0.0		
015090200	本社収支	情報機器利用料	0.0	0.0		
015090200	本社収支	貸倒金	0.0	0.0		
015090200	本社収支	雑費	0.0	0.0		
015090200	本社収支	福利消耗品費	0.0	0.0		
015090200	本社収支	教育研修費	0.0	0.0		
015090200	本社収支	雑給	0.0	0.0		
015090200	本社収支	グループ共通	0.0	0.0		
015090200	本社収支	差引収益	0.0	0.0		
015090200	本社収支	差引比率	0.0	0.0		
015090200	本社収支	総時間	119.75	119.75	100.0	101.6
015090200	本社収支	定時間	0.0	0.0		
015090200	本社収支	残業時間	0.0	0.0		
015090200	本社収支	移動時間	119.75	119.75	100.0	101.6
015090200	本社収支	当月時間当り	0.0	0.0		
015090200	本社収支	人員	0.0	0.0		
230W30200	苗生産課	総受注高	56225380.0	56300000.0	99.8	78.4
230W30200	苗生産課	総売上高	56225380.0	56300000.0	99.8	78.4
230W30200	苗生産課	苗売上	55369820.0	55965000.0	98.9	78.5
230W30200	苗生産課	その他の売上	855560.0	335000.0	255.3	72.5
230W30200	苗生産課	経費合計	23050189.0	22093308.0	104.3	110.2
230W30200	苗生産課	種苗費	0.0	0.0		
230W30200	苗生産課	肥料費	1302470.0	1300000.0	100.1	101.3
230W30200	苗生産課	培土費用	1447950.0	1572000.0	92.1	112.8
230W30200	苗生産課	農薬衛生費	1509430.0	1550000.0	97.3	112.8
230W30200	苗生産課	農具費	1416650.0	1369000.0	103.4	64.4
230W30200	苗生産課	諸材料費	0.0	0.0		0.0
230W30200	苗生産課	その他仕入高	0.0	0.0		
230W30200	苗生産課	減価償却費	2854576.0	2854576.0	100.0	104.5
230W30200	苗生産課	車両費	405660.0	405200.0	100.1	103.6
230W30200	苗生産課	旅費交通費	0.0	0.0		0.0
230W30200	苗生産課	荷造運搬費	128820.0	133000.0	96.8	218.7
230W30200	苗生産課	通信費	129068.0	126972.0	101.6	134.9
230W30200	苗生産課	水道光熱費	4376958.0	4391400.0	99.6	102.2
230W30200	苗生産課	動力費	0.0	0.0		
230W30200	苗生産課	燃料費	8200000.0	7000000.0	117.1	162.7
230W30200	苗生産課	事務用品費	55615.0	60000.0	92.6	35.6
230W30200	苗生産課	消耗品費	173248.0	190000.0	91.1	107.2
230W30200	苗生産課	廃棄物処理料	0.0	0.0		
230W30200	苗生産課	広告宣伝費	0.0	0.0		
230W30200	苗生産課	接待交際費	0.0	0.0		
230W30200	苗生産課	研究開発費	0.0	0.0		
230W30200	苗生産課	クレーム費	0.0	0.0		
230W30200	苗生産課	賃借料	0.0	0.0		
230W30200	苗生産課	賃貸料収入	0.0	0.0		
230W30200	苗生産課	修繕費	1000848.0	1200000.0	83.4	43.1
230W30200	苗生産課	支払リース料	0.0	0.0		
230W30200	苗生産課	保険料	298533.0	324000.0	92.1	179.4
230W30200	苗生産課	支払報酬	513600.0	511000.0	100.5	100.8
230W30200	苗生産課	販売手数料	0.0	0.0		
230W30200	苗生産課	支払手数料	294350.0	296000.0	99.4	103.9
230W30200	苗生産課	診断料	50000.0	50000.0	100.0	
230W30200	苗生産課	諸会費	10000.0	20000.0	50.0	33.3
230W30200	苗生産課	会議費	0.0	0.0		
230W30200	苗生産課	寄付金	1000.0	1000.0	100.0	100.0
230W30200	苗生産課	租税公課	340000.0	188000.0	180.8	180.6
230W30200	苗生産課	業務委託費	0.0	0.0		
230W30200	苗生産課	業務受託収入	-4773600.0	-4773600.0		
230W30200	苗生産課	システム管理料	10000.0	10000.0	100.0	96.1
230W30200	苗生産課	情報機器利用料	738096.0	737760.0	100.0	100.4
230W30200	苗生産課	貸倒金	0.0	0.0		
230W30200	苗生産課	雑費	65917.0	66000.0	99.8	101.4
230W30200	苗生産課	福利消耗品費	205000.0	215000.0	95.3	72.3
230W30200	苗生産課	教育研修費	40000.0	40000.0	100.0	412.3
230W30200	苗生産課	雑給	0.0	0.0		
230W30200	苗生産課	グループ共通	2256000.0	2256000.0	100.0	109.3
230W30200	苗生産課	差引収益	33175191.0	34206692.0	96.9	65.3
230W30200	苗生産課	差引比率	59.0	60.7	97.1	83.3
230W30200	苗生産課	総時間	20836.75	20928.5	99.5	106.5
230W30200	苗生産課	定時間	20541.5	20635.0	99.5	108.1
230W30200	苗生産課	残業時間	523.0	530.0	98.6	67.2
230W30200	苗生産課	移動時間	-227.75	-236.5		
230W30200	苗生産課	当月時間当り	1592.1	1634.4	97.4	61.2
230W30200	苗生産課	人員	18.0	18.0	100.0	105.8
230W30100	苗生産部	総受注高	56225380.0	56300000.0	99.8	78.4
230W30100	苗生産部	総売上高	56225380.0	56300000.0	99.8	78.4
230W30100	苗生産部	苗売上	55369820.0	55965000.0	98.9	78.5
230W30100	苗生産部	その他の売上	855560.0	335000.0	255.3	72.5
230W30100	苗生産部	経費合計	23050189.0	22093308.0	104.3	110.2
230W30100	苗生産部	種苗費	0.0	0.0		
230W30100	苗生産部	肥料費	1302470.0	1300000.0	100.1	101.3
230W30100	苗生産部	培土費用	1447950.0	1572000.0	92.1	112.8
230W30100	苗生産部	農薬衛生費	1509430.0	1550000.0	97.3	112.8
230W30100	苗生産部	農具費	1416650.0	1369000.0	103.4	64.4
230W30100	苗生産部	諸材料費	0.0	0.0		0.0
230W30100	苗生産部	その他仕入高	0.0	0.0		
230W30100	苗生産部	減価償却費	2854576.0	2854576.0	100.0	104.5
230W30100	苗生産部	車両費	405660.0	405200.0	100.1	103.6
230W30100	苗生産部	旅費交通費	0.0	0.0		0.0
230W30100	苗生産部	荷造運搬費	128820.0	133000.0	96.8	218.7
230W30100	苗生産部	通信費	129068.0	126972.0	101.6	134.9
230W30100	苗生産部	水道光熱費	4376958.0	4391400.0	99.6	102.2
230W30100	苗生産部	動力費	0.0	0.0		
230W30100	苗生産部	燃料費	8200000.0	7000000.0	117.1	162.7
230W30100	苗生産部	事務用品費	55615.0	60000.0	92.6	35.6
230W30100	苗生産部	消耗品費	173248.0	190000.0	91.1	107.2
230W30100	苗生産部	廃棄物処理料	0.0	0.0		
230W30100	苗生産部	広告宣伝費	0.0	0.0		
230W30100	苗生産部	接待交際費	0.0	0.0		
230W30100	苗生産部	研究開発費	0.0	0.0		
230W30100	苗生産部	クレーム費	0.0	0.0		
230W30100	苗生産部	賃借料	0.0	0.0		
230W30100	苗生産部	賃貸料収入	0.0	0.0		
230W30100	苗生産部	修繕費	1000848.0	1200000.0	83.4	43.1
230W30100	苗生産部	支払リース料	0.0	0.0		
230W30100	苗生産部	保険料	298533.0	324000.0	92.1	179.4
230W30100	苗生産部	支払報酬	513600.0	511000.0	100.5	100.8
230W30100	苗生産部	販売手数料	0.0	0.0		
230W30100	苗生産部	支払手数料	294350.0	296000.0	99.4	103.9
230W30100	苗生産部	診断料	50000.0	50000.0	100.0	
230W30100	苗生産部	諸会費	10000.0	20000.0	50.0	33.3
230W30100	苗生産部	会議費	0.0	0.0		
230W30100	苗生産部	寄付金	1000.0	1000.0	100.0	100.0
230W30100	苗生産部	租税公課	340000.0	188000.0	180.8	180.6
230W30100	苗生産部	業務委託費	0.0	0.0		
230W30100	苗生産部	業務受託収入	-4773600.0	-4773600.0		
230W30100	苗生産部	システム管理料	10000.0	10000.0	100.0	96.1
230W30100	苗生産部	情報機器利用料	738096.0	737760.0	100.0	100.4
230W30100	苗生産部	貸倒金	0.0	0.0		
230W30100	苗生産部	雑費	65917.0	66000.0	99.8	101.4
230W30100	苗生産部	福利消耗品費	205000.0	215000.0	95.3	72.3
230W30100	苗生産部	教育研修費	40000.0	40000.0	100.0	412.3
230W30100	苗生産部	雑給	0.0	0.0		
230W30100	苗生産部	グループ共通	2256000.0	2256000.0	100.0	109.3
230W30100	苗生産部	差引収益	33175191.0	34206692.0	96.9	65.3
230W30100	苗生産部	差引比率	59.0	60.7	97.1	83.3
230W30100	苗生産部	総時間	20836.75	20928.5	99.5	106.5
230W30100	苗生産部	定時間	20541.5	20635.0	99.5	108.1
230W30100	苗生産部	残業時間	523.0	530.0	98.6	67.2
230W30100	苗生産部	移動時間	-227.75	-236.5		
230W30100	苗生産部	当月時間当り	1592.1	1634.4	97.4	61.2
230W30100	苗生産部	人員	18.0	18.0	100.0	105.8
